2) at least three (or four) people have birthday at the same day, probability: 0.0
3) at least three (or four) people have birthday at the same day, probability: 0.0
4) at least three (or four) people have birthday at the same day, probability: 0.0
5) at least three (or four) people have birthday at the same day, probability: 0.0
6) at least three (or four) people have birthday at the same day, probability: 0.0
7) at least three (or four) people have birthday at the same day, probability: 0.0
8) at least three (or four) people have birthday at the same day, probability: 0.0
9) at least three (or four) people have birthday at the same day, probability: 0.0
10) at least three (or four) people have birthday at the same day, probability: 0.01
11) at least three (or four) people have birthday at the same day, probability: 0.0
12) at least three (or four) people have birthday at the same day, probability: 0.0
13) at least three (or four) people have birthday at the same day, probability: 0.0
14) at least three (or four) people have birthday at the same day, probability: 0.0
15) at least three (or four) people have birthday at the same day, probability: 0.01
16) at least three (or four) people have birthday at the same day, probability: 0.0
17) at least three (or four) people have birthday at the same day, probability: 0.01
18) at least three (or four) people have birthday at the same day, probability: 0.01
19) at least three (or four) people have birthday at the same day, probability: 0.01
20) at least three (or four) people have birthday at the same day, probability: 0.02
21) at least three (or four) people have birthday at the same day, probability: 0.02
22) at least three (or four) people have birthday at the same day, probability: 0.04
23) at least three (or four) people have birthday at the same day, probability: 0.02
24) at least three (or four) people have birthday at the same day, probability: 0.02
25) at least three (or four) people have birthday at the same day, probability: 0.0
26) at least three (or four) people have birthday at the same day, probability: 0.01
27) at least three (or four) people have birthday at the same day, probability: 0.03
28) at least three (or four) people have birthday at the same day, probability: 0.02
29) at least three (or four) people have birthday at the same day, probability: 0.02
30) at least three (or four) people have birthday at the same day, probability: 0.04
31) at least three (or four) people have birthday at the same day, probability: 0.05
32) at least three (or four) people have birthday at the same day, probability: 0.03
33) at least three (or four) people have birthday at the same day, probability: 0.04
34) at least three (or four) people have birthday at the same day, probability: 0.04
35) at least three (or four) people have birthday at the same day, probability: 0.07
36) at least three (or four) people have birthday at the same day, probability: 0.05
37) at least three (or four) people have birthday at the same day, probability: 0.01
38) at least three (or four) people have birthday at the same day, probability: 0.08
39) at least three (or four) people have birthday at the same day, probability: 0.06
40) at least three (or four) people have birthday at the same day, probability: 0.09
41) at least three (or four) people have birthday at the same day, probability: 0.05
42) at least three (or four) people have birthday at the same day, probability: 0.13
43) at least three (or four) people have birthday at the same day, probability: 0.07
44) at least three (or four) people have birthday at the same day, probability: 0.11
45) at least three (or four) people have birthday at the same day, probability: 0.07
46) at least three (or four) people have birthday at the same day, probability: 0.11
47) at least three (or four) people have birthday at the same day, probability: 0.11
48) at least three (or four) people have birthday at the same day, probability: 0.13
49) at least three (or four) people have birthday at the same day, probability: 0.09
50) at least three (or four) people have birthday at the same day, probability: 0.14
51) at least three (or four) people have birthday at the same day, probability: 0.13
52) at least three (or four) people have birthday at the same day, probability: 0.1
53) at least three (or four) people have birthday at the same day, probability: 0.13
54) at least three (or four) people have birthday at the same day, probability: 0.16
55) at least three (or four) people have birthday at the same day, probability: 0.08
56) at least three (or four) people have birthday at the same day, probability: 0.24
57) at least three (or four) people have birthday at the same day, probability: 0.23
